Model_Type,Band,Window_Size,Degree,Equation,R_squared,P_value,AIC
Polynomial (SG),RED,59,3,y = 0.6405 + -10.2953x^1 + 45.0217x^2 + -45.4670x^3,0.8848,<0.0001,-88.8839
Polynomial (SG),RED,58,3,y = 0.6405 + -10.2953x^1 + 45.0217x^2 + -45.4670x^3,0.8848,<0.0001,-88.8839
Polynomial (SG),RED,56,3,y = 0.6320 + -10.1963x^1 + 44.6888x^2 + -45.1333x^3,0.8846,<0.0001,-88.6531
Polynomial (SG),RED,57,3,y = 0.6320 + -10.1963x^1 + 44.6888x^2 + -45.1333x^3,0.8846,<0.0001,-88.6531
Polynomial (MA),RED,16,3,y = 0.6223 + -10.0308x^1 + 44.6577x^2 + -45.5029x^3,0.8841,<0.0001,-88.1375
Polynomial (SG),RED,60,3,y = 0.6450 + -10.3599x^1 + 45.2695x^2 + -45.7304x^3,0.8839,<0.0001,-87.9692
Polynomial (SG),RED,54,3,y = 0.6157 + -10.0099x^1 + 44.1698x^2 + -44.7173x^3,0.8829,<0.0001,-86.8803
Polynomial (SG),RED,55,3,y = 0.6157 + -10.0099x^1 + 44.1698x^2 + -44.7173x^3,0.8829,<0.0001,-86.8803
Polynomial (MA),RED,17,3,y = 0.6309 + -10.1012x^1 + 44.8379x^2 + -45.6920x^3,0.8828,<0.0001,-86.806
Polynomial (MA),RED,12,3,y = 0.5546 + -9.2701x^1 + 42.7605x^2 + -44.1216x^3,0.8811,<0.0001,-85.0738
Polynomial (MA),RED,14,3,y = 0.5971 + -9.7980x^1 + 44.1896x^2 + -45.2528x^3,0.8806,<0.0001,-84.5399
Polynomial (MA),RED,13,3,y = 0.6102 + -9.9176x^1 + 44.5382x^2 + -45.5695x^3,0.8803,<0.0001,-84.2156
Polynomial (SG),NIR,59,3,y = 0.6300 + -10.4556x^1 + 47.6655x^2 + -50.0417x^3,0.8799,<0.0001,-83.7855
Polynomial (SG),NIR,58,3,y = 0.6300 + -10.4556x^1 + 47.6655x^2 + -50.0417x^3,0.8799,<0.0001,-83.7855
Polynomial (SG),RED,53,3,y = 0.6000 + -9.7988x^1 + 43.3900x^2 + -43.8890x^3,0.8793,<0.0001,-83.2287
Polynomial (SG),RED,52,3,y = 0.6000 + -9.7988x^1 + 43.3900x^2 + -43.8890x^3,0.8793,<0.0001,-83.2287
Polynomial (SG),NIR,56,3,y = 0.6194 + -10.3257x^1 + 47.2105x^2 + -49.5691x^3,0.8791,<0.0001,-82.9915
Polynomial (SG),NIR,57,3,y = 0.6194 + -10.3257x^1 + 47.2105x^2 + -49.5691x^3,0.8791,<0.0001,-82.9915
Polynomial (SG),NIR,60,3,y = 0.6338 + -10.5197x^1 + 47.9494x^2 + -50.3765x^3,0.8788,<0.0001,-82.7326
Polynomial (MA),RED,24,3,y = 0.6621 + -10.4043x^1 + 45.3925x^2 + -45.9319x^3,0.8788,<0.0001,-82.7044
